[VENDIDO]   2025-04-03 19:50:22 - [ID=1] Sedan Tradicional Verde | Estação: 3 | Funcionário: 115 | Posição Esteira: 30 | Loja: 2 | Posição Esteira Loja: 12
[VENDIDO]   2025-04-03 19:50:22 - [ID=2] Utilitário Esportivo Azul | Estação: 1 | Funcionário: 102 | Posição Esteira: 13 | Loja: 1 | Posição Esteira Loja: 19
[VENDIDO]   2025-04-03 19:50:22 - [ID=3] Sedan Tradicional Azul | Estação: 2 | Funcionário: 101 | Posição Esteira: 5 | Loja: 2 | Posição Esteira Loja: 17
[VENDIDO]   2025-04-03 19:50:22 - [ID=4] Utilitário Esportivo Vermelho | Estação: 2 | Funcionário: 109 | Posição Esteira: 18 | Loja: 3 | Posição Esteira Loja: 35
[VENDIDO]   2025-04-03 19:50:22 - [ID=5] Utilitário Esportivo Verde | Estação: 1 | Funcionário: 111 | Posição Esteira: 3 | Loja: 2 | Posição Esteira Loja: 27
[VENDIDO]   2025-04-03 19:50:22 - [ID=6] Utilitário Esportivo Vermelho | Estação: 3 | Funcionário: 101 | Posição Esteira: 3 | Loja: 3 | Posição Esteira Loja: 7
[VENDIDO]   2025-04-03 19:50:22 - [ID=7] Sedan Tradicional Vermelho | Estação: 1 | Funcionário: 104 | Posição Esteira: 4 | Loja: 3 | Posição Esteira Loja: 15
[VENDIDO]   2025-04-03 19:50:22 - [ID=8] Sedan Tradicional Vermelho | Estação: 1 | Funcionário: 107 | Posição Esteira: 39 | Loja: 3 | Posição Esteira Loja: 2
[VENDIDO]   2025-04-03 19:50:22 - [ID=9] Sedan Tradicional Verde | Estação: 4 | Funcionário: 117 | Posição Esteira: 20 | Loja: 3 | Posição Esteira Loja: 6
[VENDIDO]   2025-04-03 19:50:22 - [ID=10] Utilitário Esportivo Vermelho | Estação: 3 | Funcionário: 120 | Posição Esteira: 2 | Loja: 3 | Posição Esteira Loja: 28
[VENDIDO]   2025-04-03 19:50:22 - [ID=11] Utilitário Esportivo Azul | Estação: 3 | Funcionário: 115 | Posição Esteira: 16 | Loja: 3 | Posição Esteira Loja: 4
[VENDIDO]   2025-04-03 19:50:22 - [ID=12] Utilitário Esportivo Vermelho | Estação: 2 | Funcionário: 105 | Posição Esteira: 17 | Loja: 3 | Posição Esteira Loja: 32
[VENDIDO]   2025-04-03 19:50:22 - [ID=13] Utilitário Esportivo Vermelho | Estação: 4 | Funcionário: 102 | Posição Esteira: 24 | Loja: 2 | Posição Esteira Loja: 26
[VENDIDO]   2025-04-03 19:50:22 - [ID=14] Sedan Tradicional Verde | Estação: 4 | Funcionário: 105 | Posição Esteira: 33 | Loja: 2 | Posição Esteira Loja: 0
[VENDIDO]   2025-04-03 19:50:22 - [ID=15] Utilitário Esportivo Azul | Estação: 1 | Funcionário: 120 | Posição Esteira: 0 | Loja: 2 | Posição Esteira Loja: 14
[VENDIDO]   2025-04-03 19:50:22 - [ID=16] Utilitário Esportivo Azul | Estação: 1 | Funcionário: 113 | Posição Esteira: 30 | Loja: 2 | Posição Esteira Loja: 10
[VENDIDO]   2025-04-03 19:50:22 - [ID=17] Utilitário Esportivo Azul | Estação: 3 | Funcionário: 108 | Posição Esteira: 14 | Loja: 2 | Posição Esteira Loja: 20
[VENDIDO]   2025-04-03 19:50:22 - [ID=18] Sedan Tradicional Vermelho | Estação: 4 | Funcionário: 113 | Posição Esteira: 38 | Loja: 1 | Posição Esteira Loja: 13
[VENDIDO]   2025-04-03 19:50:22 - [ID=19] Utilitário Esportivo Azul | Estação: 1 | Funcionário: 102 | Posição Esteira: 6 | Loja: 1 | Posição Esteira Loja: 5
[VENDIDO]   2025-04-03 19:50:22 - [ID=20] Sedan Tradicional Vermelho | Estação: 2 | Funcionário: 101 | Posição Esteira: 21 | Loja: 1 | Posição Esteira Loja: 19
[VENDIDO]   2025-04-03 19:50:22 - [ID=21] Utilitário Esportivo Verde | Estação: 1 | Funcionário: 118 | Posição Esteira: 37 | Loja: 3 | Posição Esteira Loja: 9
[VENDIDO]   2025-04-03 19:50:22 - [ID=22] Sedan Tradicional Azul | Estação: 3 | Funcionário: 118 | Posição Esteira: 31 | Loja: 1 | Posição Esteira Loja: 11
[VENDIDO]   2025-04-03 19:50:22 - [ID=23] Utilitário Esportivo Verde | Estação: 1 | Funcionário: 117 | Posição Esteira: 22 | Loja: 2 | Posição Esteira Loja: 13
[VENDIDO]   2025-04-03 19:50:22 - [ID=24] Sedan Tradicional Azul | Estação: 2 | Funcionário: 102 | Posição Esteira: 27 | Loja: 2 | Posição Esteira Loja: 30
[VENDIDO]   2025-04-03 19:50:22 - [ID=25] Utilitário Esportivo Vermelho | Estação: 3 | Funcionário: 103 | Posição Esteira: 21 | Loja: 2 | Posição Esteira Loja: 39
[VENDIDO]   2025-04-03 19:50:22 - [ID=26] Sedan Tradicional Azul | Estação: 2 | Funcionário: 109 | Posição Esteira: 37 | Loja: 3 | Posição Esteira Loja: 16
[VENDIDO]   2025-04-03 19:50:22 - [ID=27] Utilitário Esportivo Verde | Estação: 4 | Funcionário: 108 | Posição Esteira: 36 | Loja: 1 | Posição Esteira Loja: 7
[VENDIDO]   2025-04-03 19:50:22 - [ID=28] Utilitário Esportivo Verde | Estação: 4 | Funcionário: 110 | Posição Esteira: 17 | Loja: 1 | Posição Esteira Loja: 9
[VENDIDO]   2025-04-03 19:50:22 - [ID=29] Utilitário Esportivo Verde | Estação: 3 | Funcionário: 113 | Posição Esteira: 34 | Loja: 1 | Posição Esteira Loja: 23
[VENDIDO]   2025-04-03 19:50:22 - [ID=30] Sedan Tradicional Vermelho | Estação: 3 | Funcionário: 112 | Posição Esteira: 36 | Loja: 2 | Posição Esteira Loja: 39
[VENDIDO]   2025-04-03 19:50:22 - [ID=31] Sedan Tradicional Vermelho | Estação: 2 | Funcionário: 109 | Posição Esteira: 30 | Loja: 2 | Posição Esteira Loja: 31
[VENDIDO]   2025-04-03 19:50:22 - [ID=32] Sedan Tradicional Vermelho | Estação: 4 | Funcionário: 112 | Posição Esteira: 9 | Loja: 2 | Posição Esteira Loja: 32
[VENDIDO]   2025-04-03 19:50:22 - [ID=33] Utilitário Esportivo Azul | Estação: 4 | Funcionário: 106 | Posição Esteira: 33 | Loja: 2 | Posição Esteira Loja: 34
[VENDIDO]   2025-04-03 19:50:22 - [ID=34] Sedan Tradicional Vermelho | Estação: 3 | Funcionário: 117 | Posição Esteira: 10 | Loja: 3 | Posição Esteira Loja: 10
[VENDIDO]   2025-04-03 19:50:22 - [ID=35] Sedan Tradicional Vermelho | Estação: 3 | Funcionário: 112 | Posição Esteira: 0 | Loja: 2 | Posição Esteira Loja: 8
[VENDIDO]   2025-04-03 19:50:22 - [ID=36] Utilitário Esportivo Azul | Estação: 1 | Funcionário: 117 | Posição Esteira: 3 | Loja: 2 | Posição Esteira Loja: 21
[VENDIDO]   2025-04-03 19:50:22 - [ID=37] Sedan Tradicional Azul | Estação: 2 | Funcionário: 115 | Posição Esteira: 34 | Loja: 3 | Posição Esteira Loja: 0
[VENDIDO]   2025-04-03 19:50:22 - [ID=38] Utilitário Esportivo Verde | Estação: 2 | Funcionário: 110 | Posição Esteira: 27 | Loja: 3 | Posição Esteira Loja: 20
[VENDIDO]   2025-04-03 19:50:22 - [ID=39] Sedan Tradicional Azul | Estação: 3 | Funcionário: 101 | Posição Esteira: 7 | Loja: 1 | Posição Esteira Loja: 35
[VENDIDO]   2025-04-03 19:50:22 - [ID=40] Sedan Tradicional Verde | Estação: 1 | Funcionário: 106 | Posição Esteira: 8 | Loja: 3 | Posição Esteira Loja: 0
[VENDIDO]   2025-04-03 19:50:22 - [ID=41] Utilitário Esportivo Vermelho | Estação: 1 | Funcionário: 117 | Posição Esteira: 5 | Loja: 2 | Posição Esteira Loja: 24
[VENDIDO]   2025-04-03 19:50:22 - [ID=42] Utilitário Esportivo Azul | Estação: 4 | Funcionário: 113 | Posição Esteira: 6 | Loja: 2 | Posição Esteira Loja: 7
