[PRODUZIDO] 2025-04-10 19:38:01 - [ID=1] Utilitário Esportivo Vermelho | Estação: 0 | Funcionário: 0
[PRODUZIDO] 2025-04-10 19:38:03 - [ID=2] Sedan Tradicional Verde | Estação: 2 | Funcionário: 0
[PRODUZIDO] 2025-04-10 19:38:06 - [ID=3] Utilitário Esportivo Azul | Estação: 3 | Funcionário: 0
[PRODUZIDO] 2025-04-10 19:38:06 - [ID=4] Sedan Tradicional Vermelho | Estação: 1 | Funcionário: 2
[PRODUZIDO] 2025-04-10 19:38:08 - [ID=5] Utilitário Esportivo Verde | Estação: 2 | Funcionário: 2
[PRODUZIDO] 2025-04-10 19:38:08 - [ID=6] Sedan Tradicional Azul | Estação: 3 | Funcionário: 2
[PRODUZIDO] 2025-04-10 19:38:09 - [ID=7] Utilitário Esportivo Vermelho | Estação: 0 | Funcionário: 2
[PRODUZIDO] 2025-04-10 19:38:10 - [ID=8] Sedan Tradicional Verde | Estação: 1 | Funcionário: 0
[PRODUZIDO] 2025-04-10 19:38:10 - [ID=9] Utilitário Esportivo Azul | Estação: 2 | Funcionário: 0
[PRODUZIDO] 2025-04-10 19:38:13 - [ID=10] Sedan Tradicional Vermelho | Estação: 1 | Funcionário: 2
[PRODUZIDO] 2025-04-10 19:38:16 - [ID=11] Utilitário Esportivo Verde | Estação: 3 | Funcionário: 2
[PRODUZIDO] 2025-04-10 19:38:16 - [ID=12] Sedan Tradicional Azul | Estação: 0 | Funcionário: 0
[PRODUZIDO] 2025-04-10 19:38:17 - [ID=13] Utilitário Esportivo Vermelho | Estação: 0 | Funcionário: 2
[PRODUZIDO] 2025-04-10 19:38:17 - [ID=14] Sedan Tradicional Verde | Estação: 3 | Funcionário: 0
[PRODUZIDO] 2025-04-10 19:38:19 - [ID=15] Utilitário Esportivo Azul | Estação: 1 | Funcionário: 2
[PRODUZIDO] 2025-04-10 19:38:20 - [ID=16] Sedan Tradicional Vermelho | Estação: 1 | Funcionário: 0
[PRODUZIDO] 2025-04-10 19:38:20 - [ID=17] Utilitário Esportivo Verde | Estação: 2 | Funcionário: 2
[PRODUZIDO] 2025-04-10 19:38:20 - [ID=18] Sedan Tradicional Azul | Estação: 2 | Funcionário: 0
[PRODUZIDO] 2025-04-10 19:38:21 - [ID=19] Utilitário Esportivo Vermelho | Estação: 3 | Funcionário: 2
[PRODUZIDO] 2025-04-10 19:38:23 - [ID=20] Sedan Tradicional Verde | Estação: 0 | Funcionário: 1
[PRODUZIDO] 2025-04-10 19:38:25 - [ID=21] Utilitário Esportivo Azul | Estação: 1 | Funcionário: 0
[PRODUZIDO] 2025-04-10 19:38:26 - [ID=22] Sedan Tradicional Vermelho | Estação: 2 | Funcionário: 2
[PRODUZIDO] 2025-04-10 19:38:26 - [ID=23] Utilitário Esportivo Verde | Estação: 0 | Funcionário: 4
[PRODUZIDO] 2025-04-10 19:38:30 - [ID=24] Sedan Tradicional Azul | Estação: 2 | Funcionário: 0
[PRODUZIDO] 2025-04-10 19:38:32 - [ID=25] Utilitário Esportivo Vermelho | Estação: 3 | Funcionário: 2
[PRODUZIDO] 2025-04-10 19:38:32 - [ID=26] Sedan Tradicional Verde | Estação: 0 | Funcionário: 3
[PRODUZIDO] 2025-04-10 19:38:35 - [ID=27] Utilitário Esportivo Azul | Estação: 2 | Funcionário: 2
[PRODUZIDO] 2025-04-10 19:38:36 - [ID=28] Sedan Tradicional Vermelho | Estação: 2 | Funcionário: 4
[PRODUZIDO] 2025-04-10 19:38:36 - [ID=29] Utilitário Esportivo Verde | Estação: 1 | Funcionário: 0
[PRODUZIDO] 2025-04-10 19:38:37 - [ID=30] Sedan Tradicional Azul | Estação: 3 | Funcionário: 2
[PRODUZIDO] 2025-04-10 19:38:41 - [ID=31] Utilitário Esportivo Vermelho | Estação: 2 | Funcionário: 4
[PRODUZIDO] 2025-04-10 19:38:44 - [ID=32] Sedan Tradicional Verde | Estação: 3 | Funcionário: 2
[PRODUZIDO] 2025-04-10 19:38:45 - [ID=33] Utilitário Esportivo Azul | Estação: 2 | Funcionário: 2
[PRODUZIDO] 2025-04-10 19:38:46 - [ID=34] Sedan Tradicional Vermelho | Estação: 0 | Funcionário: 3
[PRODUZIDO] 2025-04-10 19:38:46 - [ID=35] Utilitário Esportivo Verde | Estação: 1 | Funcionário: 4
[PRODUZIDO] 2025-04-10 19:38:51 - [ID=36] Sedan Tradicional Azul | Estação: 2 | Funcionário: 4
[PRODUZIDO] 2025-04-10 19:38:52 - [ID=37] Utilitário Esportivo Vermelho | Estação: 1 | Funcionário: 3
[PRODUZIDO] 2025-04-10 19:38:55 - [ID=38] Sedan Tradicional Verde | Estação: 2 | Funcionário: 2
[PRODUZIDO] 2025-04-10 19:38:58 - [ID=39] Utilitário Esportivo Azul | Estação: 3 | Funcionário: 2
[PRODUZIDO] 2025-04-10 19:39:04 - [ID=40] Sedan Tradicional Vermelho | Estação: 2 | Funcionário: 4
[PRODUZIDO] 2025-04-10 19:39:06 - [ID=41] Utilitário Esportivo Verde | Estação: 1 | Funcionário: 3
[PRODUZIDO] 2025-04-10 19:39:09 - [ID=42] Sedan Tradicional Azul | Estação: 2 | Funcionário: 3
[PRODUZIDO] 2025-04-10 19:39:12 - [ID=43] Utilitário Esportivo Vermelho | Estação: 3 | Funcionário: 1
[PRODUZIDO] 2025-04-10 19:39:14 - [ID=44] Sedan Tradicional Verde | Estação: 1 | Funcionário: 3
[PRODUZIDO] 2025-04-10 19:39:22 - [ID=45] Utilitário Esportivo Azul | Estação: 1 | Funcionário: 3
[PRODUZIDO] 2025-04-10 19:39:23 - [ID=46] Sedan Tradicional Vermelho | Estação: 2 | Funcionário: 3
[PRODUZIDO] 2025-04-10 19:39:24 - [ID=47] Utilitário Esportivo Verde | Estação: 3 | Funcionário: 1
[PRODUZIDO] 2025-04-10 19:39:29 - [ID=48] Sedan Tradicional Azul | Estação: 2 | Funcionário: 3
[PRODUZIDO] 2025-04-10 19:39:32 - [ID=49] Utilitário Esportivo Vermelho | Estação: 1 | Funcionário: 3
[PRODUZIDO] 2025-04-10 19:39:37 - [ID=50] Sedan Tradicional Verde | Estação: 2 | Funcionário: 3
[PRODUZIDO] 2025-04-10 19:39:39 - [ID=51] Utilitário Esportivo Azul | Estação: 3 | Funcionário: 1
[PRODUZIDO] 2025-04-10 19:39:43 - [ID=52] Sedan Tradicional Vermelho | Estação: 1 | Funcionário: 2
[PRODUZIDO] 2025-04-10 19:39:45 - [ID=53] Utilitário Esportivo Verde | Estação: 2 | Funcionário: 2
[PRODUZIDO] 2025-04-10 19:39:53 - [ID=54] Sedan Tradicional Azul | Estação: 3 | Funcionário: 1
